date,year,month,quarter,day_of_year,day_of_week,is_weekend,clean_fuel_access,country,country_code,series_name,series_code
2010-03-22,2010,3,1,81,0,0,2.093,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-23,2010,3,1,82,1,0,2.099,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-24,2010,3,1,83,2,0,2.096,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-25,2010,3,1,84,3,0,2.106,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-26,2010,3,1,85,4,0,2.113,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-27,2010,3,1,86,5,1,2.116,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-28,2010,3,1,87,6,1,2.123,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-29,2010,3,1,88,0,0,2.121,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-30,2010,3,1,89,1,0,2.12,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-03-31,2010,3,1,90,2,0,2.134,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-01,2010,4,2,91,3,0,2.127,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-02,2010,4,2,92,4,0,2.125,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-03,2010,4,2,93,5,1,2.123,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-04,2010,4,2,94,6,1,2.126,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-05,2010,4,2,95,0,0,2.131,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-06,2010,4,2,96,1,0,2.138,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-07,2010,4,2,97,2,0,2.134,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-08,2010,4,2,98,3,0,2.138,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-09,2010,4,2,99,4,0,2.14,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-10,2010,4,2,100,5,1,2.139,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-11,2010,4,2,101,6,1,2.138,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-12,2010,4,2,102,0,0,2.142,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-13,2010,4,2,103,1,0,2.137,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-14,2010,4,2,104,2,0,2.144,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-15,2010,4,2,105,3,0,2.146,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-16,2010,4,2,106,4,0,2.145,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-17,2010,4,2,107,5,1,2.146,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-18,2010,4,2,108,6,1,2.149,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-19,2010,4,2,109,0,0,2.147,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-20,2010,4,2,110,1,0,2.148,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-21,2010,4,2,111,2,0,2.145,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-22,2010,4,2,112,3,0,2.146,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-23,2010,4,2,113,4,0,2.149,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-24,2010,4,2,114,5,1,2.155,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-25,2010,4,2,115,6,1,2.154,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-26,2010,4,2,116,0,0,2.154,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-27,2010,4,2,117,1,0,2.154,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-28,2010,4,2,118,2,0,2.157,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-29,2010,4,2,119,3,0,2.158,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-04-30,2010,4,2,120,4,0,2.158,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-01,2010,5,2,121,5,1,2.157,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-02,2010,5,2,122,6,1,2.158,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-03,2010,5,2,123,0,0,2.164,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-04,2010,5,2,124,1,0,2.168,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-05,2010,5,2,125,2,0,2.167,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-06,2010,5,2,126,3,0,2.166,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-07,2010,5,2,127,4,0,2.174,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-08,2010,5,2,128,5,1,2.178,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-09,2010,5,2,129,6,1,2.189,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-10,2010,5,2,130,0,0,2.191,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-11,2010,5,2,131,1,0,2.193,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-12,2010,5,2,132,2,0,2.199,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-13,2010,5,2,133,3,0,2.204,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-14,2010,5,2,134,4,0,2.196,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-15,2010,5,2,135,5,1,2.197,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-16,2010,5,2,136,6,1,2.189,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-17,2010,5,2,137,0,0,2.187,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-18,2010,5,2,138,1,0,2.184,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-19,2010,5,2,139,2,0,2.178,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-20,2010,5,2,140,3,0,2.172,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-21,2010,5,2,141,4,0,2.181,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-22,2010,5,2,142,5,1,2.18,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-23,2010,5,2,143,6,1,2.18,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-24,2010,5,2,144,0,0,2.177,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-25,2010,5,2,145,1,0,2.184,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-26,2010,5,2,146,2,0,2.191,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-27,2010,5,2,147,3,0,2.199,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-28,2010,5,2,148,4,0,2.197,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-29,2010,5,2,149,5,1,2.194,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-30,2010,5,2,150,6,1,2.197,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-05-31,2010,5,2,151,0,0,2.206,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-01,2010,6,2,152,1,0,2.207,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-02,2010,6,2,153,2,0,2.197,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-03,2010,6,2,154,3,0,2.194,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-04,2010,6,2,155,4,0,2.198,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-05,2010,6,2,156,5,1,2.2,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-06,2010,6,2,157,6,1,2.201,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-07,2010,6,2,158,0,0,2.197,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-08,2010,6,2,159,1,0,2.193,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-09,2010,6,2,160,2,0,2.199,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-10,2010,6,2,161,3,0,2.195,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-11,2010,6,2,162,4,0,2.193,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-12,2010,6,2,163,5,1,2.196,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-13,2010,6,2,164,6,1,2.194,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-14,2010,6,2,165,0,0,2.197,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-15,2010,6,2,166,1,0,2.202,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-16,2010,6,2,167,2,0,2.201,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-17,2010,6,2,168,3,0,2.199,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-18,2010,6,2,169,4,0,2.201,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-19,2010,6,2,170,5,1,2.199,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
2010-06-20,2010,6,2,171,6,1,2.201,Cameroon,CMR,"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS
