date,year,month,day,day_of_year,item,item_code,value,unit,area,area_code,element,element_code,domain,domain_code,flag,flag_description
2010-01-30,2010,1,30,30,"Wood fuel, non-coniferous",1628,29410.51,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-01-31,2010,1,31,31,"Wood fuel, non-coniferous",1628,30564.24,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-01,2010,2,1,32,"Wood fuel, non-coniferous",1628,32433.08,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-02,2010,2,2,33,"Wood fuel, non-coniferous",1628,30310.83,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-03,2010,2,3,34,"Wood fuel, non-coniferous",1628,28400.72,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-04,2010,2,4,35,"Wood fuel, non-coniferous",1628,37862.46,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-05,2010,2,5,36,"Wood fuel, non-coniferous",1628,35747.16,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-06,2010,2,6,37,"Wood fuel, non-coniferous",1628,31148.74,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-07,2010,2,7,38,"Wood fuel, non-coniferous",1628,33805.95,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-08,2010,2,8,39,"Wood fuel, non-coniferous",1628,27826.34,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-09,2010,2,9,40,"Wood fuel, non-coniferous",1628,29890.07,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-10,2010,2,10,41,"Wood fuel, non-coniferous",1628,33554.16,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-11,2010,2,11,42,"Wood fuel, non-coniferous",1628,26332.21,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-12,2010,2,12,43,"Wood fuel, non-coniferous",1628,32228.38,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-13,2010,2,13,44,"Wood fuel, non-coniferous",1628,27208.27,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-14,2010,2,14,45,"Wood fuel, non-coniferous",1628,28832.52,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-15,2010,2,15,46,"Wood fuel, non-coniferous",1628,25503.25,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-16,2010,2,16,47,"Wood fuel, non-coniferous",1628,34065.23,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-17,2010,2,17,48,"Wood fuel, non-coniferous",1628,30392.18,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-18,2010,2,18,49,"Wood fuel, non-coniferous",1628,31591.24,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-19,2010,2,19,50,"Wood fuel, non-coniferous",1628,37212.27,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-20,2010,2,20,51,"Wood fuel, non-coniferous",1628,32825.32,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-21,2010,2,21,52,"Wood fuel, non-coniferous",1628,45212.2,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-22,2010,2,22,53,"Wood fuel, non-coniferous",1628,36557.17,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-23,2010,2,23,54,"Wood fuel, non-coniferous",1628,32271.26,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-24,2010,2,24,55,"Wood fuel, non-coniferous",1628,29168.28,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-25,2010,2,25,56,"Wood fuel, non-coniferous",1628,26587.99,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-26,2010,2,26,57,"Wood fuel, non-coniferous",1628,30644.71,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-27,2010,2,27,58,"Wood fuel, non-coniferous",1628,27395.42,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-02-28,2010,2,28,59,"Wood fuel, non-coniferous",1628,35614.0,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-01,2010,3,1,60,"Wood fuel, non-coniferous",1628,23973.41,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-02,2010,3,2,61,"Wood fuel, non-coniferous",1628,21283.06,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-03,2010,3,3,62,"Wood fuel, non-coniferous",1628,20962.76,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-04,2010,3,4,63,"Wood fuel, non-coniferous",1628,32349.59,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-05,2010,3,5,64,"Wood fuel, non-coniferous",1628,23470.25,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-06,2010,3,6,65,"Wood fuel, non-coniferous",1628,28407.69,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-07,2010,3,7,66,"Wood fuel, non-coniferous",1628,22481.44,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-08,2010,3,8,67,"Wood fuel, non-coniferous",1628,22183.51,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-09,2010,3,9,68,"Wood fuel, non-coniferous",1628,30925.21,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-10,2010,3,10,69,"Wood fuel, non-coniferous",1628,20461.06,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-11,2010,3,11,70,"Wood fuel, non-coniferous",1628,19561.16,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-12,2010,3,12,71,"Wood fuel, non-coniferous",1628,21967.26,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-13,2010,3,13,72,"Wood fuel, non-coniferous",1628,21711.28,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-14,2010,3,14,73,"Wood fuel, non-coniferous",1628,20472.11,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-15,2010,3,15,74,"Wood fuel, non-coniferous",1628,23570.14,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-16,2010,3,16,75,"Wood fuel, non-coniferous",1628,22110.58,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-17,2010,3,17,76,"Wood fuel, non-coniferous",1628,26573.65,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-18,2010,3,18,77,"Wood fuel, non-coniferous",1628,21143.2,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-19,2010,3,19,78,"Wood fuel, non-coniferous",1628,26952.55,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-20,2010,3,20,79,"Wood fuel, non-coniferous",1628,22552.16,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-21,2010,3,21,80,"Wood fuel, non-coniferous",1628,20086.63,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-22,2010,3,22,81,"Wood fuel, non-coniferous",1628,22978.88,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-23,2010,3,23,82,"Wood fuel, non-coniferous",1628,27855.32,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-24,2010,3,24,83,"Wood fuel, non-coniferous",1628,25093.89,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-25,2010,3,25,84,"Wood fuel, non-coniferous",1628,23810.23,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-26,2010,3,26,85,"Wood fuel, non-coniferous",1628,18461.52,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-27,2010,3,27,86,"Wood fuel, non-coniferous",1628,21195.81,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-28,2010,3,28,87,"Wood fuel, non-coniferous",1628,20237.21,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-29,2010,3,29,88,"Wood fuel, non-coniferous",1628,29454.69,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-30,2010,3,30,89,"Wood fuel, non-coniferous",1628,20700.64,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-03-31,2010,3,31,90,"Wood fuel, non-coniferous",1628,22341.45,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-01,2010,4,1,91,"Wood fuel, non-coniferous",1628,25419.43,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-02,2010,4,2,92,"Wood fuel, non-coniferous",1628,22222.98,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-03,2010,4,3,93,"Wood fuel, non-coniferous",1628,21811.17,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-04,2010,4,4,94,"Wood fuel, non-coniferous",1628,22208.55,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-05,2010,4,5,95,"Wood fuel, non-coniferous",1628,23091.47,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-06,2010,4,6,96,"Wood fuel, non-coniferous",1628,23493.83,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-07,2010,4,7,97,"Wood fuel, non-coniferous",1628,19937.91,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-08,2010,4,8,98,"Wood fuel, non-coniferous",1628,25342.56,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-09,2010,4,9,99,"Wood fuel, non-coniferous",1628,21802.34,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-10,2010,4,10,100,"Wood fuel, non-coniferous",1628,22039.24,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-11,2010,4,11,101,"Wood fuel, non-coniferous",1628,24552.88,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-12,2010,4,12,102,"Wood fuel, non-coniferous",1628,22606.23,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-13,2010,4,13,103,"Wood fuel, non-coniferous",1628,19886.16,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-14,2010,4,14,104,"Wood fuel, non-coniferous",1628,30036.15,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-15,2010,4,15,105,"Wood fuel, non-coniferous",1628,25144.38,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-16,2010,4,16,106,"Wood fuel, non-coniferous",1628,26801.45,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-17,2010,4,17,107,"Wood fuel, non-coniferous",1628,18531.25,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-18,2010,4,18,108,"Wood fuel, non-coniferous",1628,22701.28,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-19,2010,4,19,109,"Wood fuel, non-coniferous",1628,29514.58,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-20,2010,4,20,110,"Wood fuel, non-coniferous",1628,22329.5,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-21,2010,4,21,111,"Wood fuel, non-coniferous",1628,24595.0,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-22,2010,4,22,112,"Wood fuel, non-coniferous",1628,27149.73,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-23,2010,4,23,113,"Wood fuel, non-coniferous",1628,20844.48,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-24,2010,4,24,114,"Wood fuel, non-coniferous",1628,21910.28,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-25,2010,4,25,115,"Wood fuel, non-coniferous",1628,21086.67,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-26,2010,4,26,116,"Wood fuel, non-coniferous",1628,24757.88,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-27,2010,4,27,117,"Wood fuel, non-coniferous",1628,19510.37,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-28,2010,4,28,118,"Wood fuel, non-coniferous",1628,22513.05,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-29,2010,4,29,119,"Wood fuel, non-coniferous",1628,25818.88,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-04-30,2010,4,30,120,"Wood fuel, non-coniferous",1628,22031.49,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-01,2010,5,1,121,"Wood fuel, non-coniferous",1628,19748.32,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-02,2010,5,2,122,"Wood fuel, non-coniferous",1628,29435.32,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-03,2010,5,3,123,"Wood fuel, non-coniferous",1628,18022.64,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-04,2010,5,4,124,"Wood fuel, non-coniferous",1628,18891.12,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-05,2010,5,5,125,"Wood fuel, non-coniferous",1628,21442.87,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-06,2010,5,6,126,"Wood fuel, non-coniferous",1628,17270.76,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-07,2010,5,7,127,"Wood fuel, non-coniferous",1628,22138.35,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-08,2010,5,8,128,"Wood fuel, non-coniferous",1628,28547.37,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-09,2010,5,9,129,"Wood fuel, non-coniferous",1628,26447.28,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-10,2010,5,10,130,"Wood fuel, non-coniferous",1628,19865.46,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-11,2010,5,11,131,"Wood fuel, non-coniferous",1628,22644.27,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-12,2010,5,12,132,"Wood fuel, non-coniferous",1628,19919.08,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-13,2010,5,13,133,"Wood fuel, non-coniferous",1628,20616.43,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-14,2010,5,14,134,"Wood fuel, non-coniferous",1628,27275.05,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-15,2010,5,15,135,"Wood fuel, non-coniferous",1628,22982.8,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-16,2010,5,16,136,"Wood fuel, non-coniferous",1628,25271.54,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-17,2010,5,17,137,"Wood fuel, non-coniferous",1628,27824.94,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-18,2010,5,18,138,"Wood fuel, non-coniferous",1628,23541.71,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-19,2010,5,19,139,"Wood fuel, non-coniferous",1628,25199.64,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-20,2010,5,20,140,"Wood fuel, non-coniferous",1628,15986.34,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-21,2010,5,21,141,"Wood fuel, non-coniferous",1628,24640.07,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-22,2010,5,22,142,"Wood fuel, non-coniferous",1628,21706.4,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-23,2010,5,23,143,"Wood fuel, non-coniferous",1628,20413.0,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-24,2010,5,24,144,"Wood fuel, non-coniferous",1628,30968.1,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-25,2010,5,25,145,"Wood fuel, non-coniferous",1628,20184.05,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-26,2010,5,26,146,"Wood fuel, non-coniferous",1628,26805.48,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-27,2010,5,27,147,"Wood fuel, non-coniferous",1628,16525.34,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-28,2010,5,28,148,"Wood fuel, non-coniferous",1628,21395.12,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-29,2010,5,29,149,"Wood fuel, non-coniferous",1628,23709.46,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-30,2010,5,30,150,"Wood fuel, non-coniferous",1628,23514.92,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-05-31,2010,5,31,151,"Wood fuel, non-coniferous",1628,25667.66,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-01,2010,6,1,152,"Wood fuel, non-coniferous",1628,18688.93,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-02,2010,6,2,153,"Wood fuel, non-coniferous",1628,22062.46,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-03,2010,6,3,154,"Wood fuel, non-coniferous",1628,21639.75,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-04,2010,6,4,155,"Wood fuel, non-coniferous",1628,18733.44,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-05,2010,6,5,156,"Wood fuel, non-coniferous",1628,24136.77,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-06,2010,6,6,157,"Wood fuel, non-coniferous",1628,29242.28,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-07,2010,6,7,158,"Wood fuel, non-coniferous",1628,22577.78,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-08,2010,6,8,159,"Wood fuel, non-coniferous",1628,24332.27,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-09,2010,6,9,160,"Wood fuel, non-coniferous",1628,29573.66,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-10,2010,6,10,161,"Wood fuel, non-coniferous",1628,17511.18,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-11,2010,6,11,162,"Wood fuel, non-coniferous",1628,21863.51,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-12,2010,6,12,163,"Wood fuel, non-coniferous",1628,17676.25,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-13,2010,6,13,164,"Wood fuel, non-coniferous",1628,18762.96,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-14,2010,6,14,165,"Wood fuel, non-coniferous",1628,25957.98,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-15,2010,6,15,166,"Wood fuel, non-coniferous",1628,29036.77,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-16,2010,6,16,167,"Wood fuel, non-coniferous",1628,25004.51,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-17,2010,6,17,168,"Wood fuel, non-coniferous",1628,28048.77,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-18,2010,6,18,169,"Wood fuel, non-coniferous",1628,22673.1,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-19,2010,6,19,170,"Wood fuel, non-coniferous",1628,25119.1,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-20,2010,6,20,171,"Wood fuel, non-coniferous",1628,19339.79,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-21,2010,6,21,172,"Wood fuel, non-coniferous",1628,23996.21,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-22,2010,6,22,173,"Wood fuel, non-coniferous",1628,19901.88,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-23,2010,6,23,174,"Wood fuel, non-coniferous",1628,27122.9,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-24,2010,6,24,175,"Wood fuel, non-coniferous",1628,23754.22,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-25,2010,6,25,176,"Wood fuel, non-coniferous",1628,23573.44,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-26,2010,6,26,177,"Wood fuel, non-coniferous",1628,25032.33,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
2010-06-27,2010,6,27,178,"Wood fuel, non-coniferous",1628,25494.56,m3,Cameroon,120,Production,5516,Forestry Production and Trade,FO,E,Estimated value
