date,temperature_avg,rainfall_mm,humidity_avg,wind_speed_kmh,season,woodfuel_production_m3,year,month,quarter,day_of_year,day_of_week,is_weekend,temp_7d_avg,temp_30d_avg,temperature_lag1,rainfall_7d_avg,rainfall_30d_cumulative,rainfall_lag1,woodfuel_7d_avg,woodfuel_30d_avg,woodfuel_lag1,woodfuel_lag7,is_dry_season,is_rainy_season
2010-01-16,15.5,0.6,62.1,9.1,Dry,32131.09,2010,1,1,16,5,1,14.942857142857141,14.076666666666666,15.4,0.9,14.4,2.0,30567.92714285714,31237.971333333335,30136.95,31058.58,1,0
2010-01-17,16.2,0.3,79.9,5.5,Dry,28476.28,2010,1,1,17,6,1,14.942857142857141,14.156666666666666,15.5,0.7428571428571428,14.7,0.6,30095.81428571429,31014.832333333332,32131.09,30077.85,1,0
2010-01-18,16.4,0.7,67.7,7.0,Dry,32742.5,2010,1,1,18,0,0,15.042857142857144,14.33,16.2,0.6571428571428571,15.4,0.3,30965.179999999997,31054.44233333333,28476.28,23077.92,1,0
2010-01-19,15.4,0.2,91.0,6.0,Dry,31417.09,2010,1,1,19,1,0,15.171428571428573,14.403333333333334,16.4,0.4285714285714285,15.6,0.7,31014.677142857145,30852.874333333333,32742.5,25555.82,1,0
2010-01-20,12.0,0.7,63.4,13.5,Dry,30545.77,2010,1,1,20,2,0,14.971428571428572,14.476666666666667,15.4,0.6285714285714287,16.3,0.2,31462.771428571432,30631.537333333334,31417.09,33850.56,1,0
2010-01-21,14.4,0.1,63.2,13.8,Dry,31306.58,2010,1,1,21,3,0,14.471428571428572,14.63,12.0,0.6,16.4,0.7,31763.595714285715,30461.406333333332,30545.77,25221.02,1,0
2010-01-22,16.3,0.4,85.0,9.7,Dry,30483.43,2010,1,1,22,4,0,14.242857142857144,14.66,14.4,0.5142857142857143,16.8,0.1,31474.254285714287,30790.751333333334,31306.58,30136.95,1,0
2010-01-23,14.1,2.0,66.4,5.3,Dry,35267.75,2010,1,1,23,5,1,13.771428571428572,14.68,16.3,0.4857142857142857,18.8,0.4,31459.604285714286,30925.068333333336,30483.43,32131.09,1,0
2010-01-24,12.7,0.1,90.7,7.3,Dry,30582.05,2010,1,1,24,6,1,14.157142857142857,14.639999999999999,14.1,0.41428571428571426,18.9,2.0,31372.015714285713,30851.83933333333,35267.75,28476.28,1,0
2010-01-25,14.8,0.1,77.6,6.3,Dry,30717.11,2010,1,1,25,0,0,14.185714285714285,14.673333333333334,12.7,0.4714285714285714,19.0,0.1,31159.84,30744.098,30582.05,32742.5,1,0
2010-01-26,12.1,0.0,70.9,6.9,Dry,31314.54,2010,1,1,26,1,0,13.77142857142857,14.653333333333332,14.8,0.42857142857142855,19.0,0.1,31398.57857142857,30737.838666666667,30717.11,31417.09,1,0
2010-01-27,14.7,0.2,61.4,8.6,Dry,29932.65,2010,1,1,27,2,0,13.857142857142858,14.653333333333334,12.1,0.18571428571428572,19.2,0.0,30561.829999999998,31087.04666666667,31314.54,30545.77,1,0
2010-01-28,14.6,0.5,83.9,6.6,Dry,29821.35,2010,1,1,28,3,0,14.1,14.6,14.7,0.21428571428571427,19.7,0.2,30559.285714285714,31112.92633333333,29932.65,31306.58,1,0
2010-01-29,13.4,0.1,95.0,8.9,Dry,32154.6,2010,1,1,29,4,0,14.514285714285714,14.706666666666669,14.6,0.2571428571428572,19.8,0.5,30804.424285714285,31058.853666666666,29821.35,30483.43,1,0
2010-01-30,14.7,0.3,70.5,14.8,Dry,29410.51,2010,1,1,30,5,1,15.157142857142858,14.793333333333331,13.4,0.27142857142857146,20.1,0.1,30661.037142857145,31125.095333333335,32154.6,35267.75,1,0
2010-01-31,14.4,0.3,62.2,7.2,Dry,30564.24,2010,1,1,31,6,1,15.12857142857143,14.8,14.7,0.2857142857142857,20.2,0.3,30442.190000000002,31081.614333333335,29410.51,30582.05,1,0
2010-02-01,17.7,0.4,91.4,6.4,Dry,32433.08,2010,2,1,32,0,0,15.414285714285715,14.85,14.4,0.24285714285714288,20.5,0.3,31590.920000000002,30860.68633333333,30564.24,30717.11,1,0
2010-02-02,16.6,0.1,93.1,12.4,Dry,30310.83,2010,2,1,33,1,0,15.742857142857144,14.813333333333334,17.7,0.24285714285714285,20.4,0.4,32104.14285714286,31046.984666666667,32433.08,31314.54,1,0
2010-02-03,14.5,0.3,65.3,12.4,Dry,28400.72,2010,2,1,34,2,0,15.8,14.776666666666666,16.6,0.2571428571428572,20.4,0.1,32352.461428571427,30968.64066666667,30310.83,29932.65,1,0
2010-02-04,16.6,0.2,57.0,10.1,Dry,37862.46,2010,2,1,35,3,0,15.728571428571428,14.71,14.5,0.32857142857142857,20.0,0.3,32815.56285714286,30974.445666666667,28400.72,29821.35,1,0
2010-02-05,15.7,0.1,74.0,5.8,Dry,35747.16,2010,2,1,36,4,0,15.057142857142859,14.879999999999999,16.6,0.6714285714285714,19.7,0.2,32157.457142857143,31196.662333333337,37862.46,32154.6,1,0
2010-02-06,15.1,0.4,82.2,7.3,Dry,31148.74,2010,2,1,37,5,1,14.700000000000001,14.933333333333334,15.7,0.7571428571428571,18.2,0.1,32097.34857142857,31247.287,35747.16,29410.51,1,0
2010-02-07,13.9,0.8,65.6,13.7,Dry,33805.95,2010,2,1,38,6,1,14.642857142857142,14.95,15.1,1.1714285714285713,18.099999999999998,0.4,32833.55428571429,31738.246,31148.74,30564.24,1,0
2010-02-08,13.0,2.8,85.2,13.0,Dry,27826.34,2010,2,1,39,0,0,14.257142857142858,15.073333333333332,13.9,1.3857142857142857,20.6,0.8,31186.375714285714,31781.22666666667,33805.95,32433.08,1,0
2010-02-09,14.1,0.7,53.4,13.0,Dry,29890.07,2010,2,1,40,1,0,14.185714285714285,15.17,13.0,1.4142857142857144,19.4,2.8,30683.692857142858,31837.533666666666,27826.34,30310.83,1,0
2010-02-10,14.1,3.2,70.6,10.6,Dry,33554.16,2010,2,1,41,2,0,14.357142857142858,15.216666666666667,14.1,1.5,20.3,0.7,30120.768571428573,31785.906000000003,29890.07,28400.72,1,0
2010-02-11,13.9,1.7,76.1,13.8,Dry,26332.21,2010,2,1,42,3,0,14.6,15.386666666666667,14.1,1.4428571428571428,21.799999999999997,3.2,29410.278571428575,31628.354333333333,33554.16,37862.46,1,0
2010-02-12,15.2,0.3,73.3,7.5,Dry,32228.38,2010,2,1,43,4,0,15.171428571428573,15.413333333333332,13.9,1.0857142857142856,20.3,1.7,29078.408571428572,31652.089666666663,26332.21,35747.16,1,0
2010-02-13,16.3,1.0,65.4,11.5,Dry,27208.27,2010,2,1,44,5,1,15.314285714285713,15.530000000000001,15.2,1.1428571428571428,20.599999999999998,0.3,29674.860000000004,31571.225333333332,32228.38,31148.74,1,0
2010-02-14,15.6,0.4,71.7,8.4,Dry,28832.52,2010,2,1,45,6,1,15.485714285714286,15.673333333333334,16.3,0.8428571428571427,19.0,1.0,29223.148571428574,31686.538666666667,27208.27,33805.95,1,0
2010-02-15,17.0,0.3,77.2,5.9,Dry,25503.25,2010,2,1,46,0,0,15.414285714285713,15.793333333333333,15.6,0.5999999999999999,18.7,0.4,29974.43857142857,31505.302,28832.52,27826.34,1,0
2010-02-16,15.1,1.1,82.5,5.6,Dry,34065.23,2010,2,1,47,1,0,15.685714285714287,15.81,17.0,0.6571428571428571,19.5,0.3,30686.42285714286,31195.929333333333,25503.25,29890.07,1,0
2010-02-17,15.3,1.1,53.1,9.6,Dry,30392.18,2010,2,1,48,2,0,15.642857142857142,15.706666666666669,15.1,0.5428571428571428,19.900000000000002,1.1,31488.85857142857,30813.585333333336,34065.23,33554.16,1,0
2010-02-18,13.4,0.0,62.9,5.7,Dry,31591.24,2010,2,1,49,3,0,15.814285714285715,15.7,15.3,0.7999999999999999,19.700000000000003,1.1,33828.81285714286,30881.543999999998,30392.18,26332.21,1,0
2010-02-19,17.1,0.7,93.4,13.7,Dry,37212.27,2010,2,1,50,4,0,15.928571428571429,15.870000000000001,13.4,0.9714285714285714,19.7,0.0,35407.944285714286,30717.195,31591.24,32228.38,1,0
2010-02-20,16.0,0.2,82.3,9.2,Dry,32825.32,2010,2,1,51,5,1,16.000000000000004,15.77,17.1,0.9428571428571428,19.8,0.7,35151.66285714286,30402.036000000004,37212.27,27208.27,1,0
2010-02-21,16.8,2.2,80.7,6.5,Dry,45212.2,2010,2,1,52,6,1,16.12857142857143,15.873333333333333,16.0,0.8142857142857142,21.599999999999998,0.2,34976.82,29959.845333333335,32825.32,28832.52,1,0
2010-02-22,17.8,1.5,70.0,14.2,Dry,36557.17,2010,2,1,53,0,0,16.67142857142857,15.97,16.8,0.9285714285714286,21.099999999999998,2.2,34262.07,29661.004333333334,45212.2,25503.25,1,0
2010-02-23,15.6,0.9,69.2,12.0,Dry,32271.26,2010,2,1,54,1,0,16.442857142857143,16.073333333333334,17.8,0.8428571428571427,21.900000000000002,1.5,33323.84714285714,29564.979666666663,36557.17,34065.23,1,0
2010-02-24,16.2,0.2,95.0,8.4,Dry,29168.28,2010,2,1,55,2,0,16.742857142857144,16.2,15.6,0.8285714285714285,22.0,0.9,32548.147142857142,29319.470333333335,32271.26,30392.18,1,0
2010-02-25,17.2,0.8,61.3,5.2,Dry,26587.99,2010,2,1,56,3,0,16.87142857142857,16.37666666666667,16.2,0.557142857142857,22.8,0.2,31176.975714285712,28975.173333333336,29168.28,31591.24,1,0
2010-02-26,15.5,0.1,80.0,7.5,Dry,30644.71,2010,2,1,57,4,0,16.942857142857143,16.413333333333334,17.2,1.1428571428571428,22.7,0.8,29379.295714285716,28588.943333333336,26587.99,37212.27,1,0
2010-02-27,18.1,0.1,87.8,6.6,Dry,27395.42,2010,2,1,58,5,1,16.84285714285714,16.55666666666667,15.5,1.4428571428571426,22.3,0.1,27809.552857142855,28434.912333333334,30644.71,32825.32,1,0
2010-02-28,17.7,0.3,89.7,5.1,Dry,35614.0,2010,2,1,59,6,1,16.614285714285714,16.633333333333333,18.1,1.8571428571428572,22.5,0.1,26637.335714285717,28043.036666666667,27395.42,45212.2,1,0
2010-03-01,18.3,5.6,72.7,12.1,Rainy,23973.41,2010,3,1,60,0,0,16.5,16.693333333333335,17.7,2.7142857142857144,27.8,0.3,27460.42142857143,27921.765666666666,35614.0,36557.17,0,1
2010-03-02,14.9,3.0,55.8,14.0,Rainy,21283.06,2010,3,1,61,1,0,17.085714285714285,16.82,18.3,2.9857142857142853,30.5,5.6,26435.49857142857,27697.701,23973.41,32271.26,0,1
2010-03-03,14.6,3.1,80.8,7.9,Rainy,20962.76,2010,3,1,62,2,0,16.442857142857143,16.793333333333333,14.9,3.8428571428571425,33.199999999999996,3.0,26580.108571428573,27733.380999999998,21283.06,29168.28,0,1
2010-03-04,16.4,6.8,67.8,5.8,Rainy,32349.59,2010,3,1,63,3,0,16.6,16.926666666666666,14.6,4.042857142857143,39.9,3.1,24704.028571428575,27302.646666666667,20962.76,26587.99,0,1
2010-03-05,19.6,2.0,57.9,10.1,Rainy,23470.25,2010,3,1,64,4,0,16.557142857142857,17.006666666666668,16.4,4.442857142857142,41.6,6.8,24448.32857142857,27187.99233333333,32349.59,30644.71,0,1
2010-03-06,13.6,6.1,58.5,8.5,Rainy,28407.69,2010,3,1,65,5,1,16.857142857142858,17.240000000000002,19.6,5.914285714285714,47.5,2.0,25825.778571428567,26886.689666666665,23470.25,27395.42,0,1
2010-03-07,18.8,1.7,60.8,6.5,Rainy,22481.44,2010,3,1,66,6,1,17.17142857142857,17.34,13.6,5.6428571428571415,49.1,6.1,25754.10714285714,26315.835,28407.69,35614.0,0,1
2010-03-08,18.0,8.4,50.6,6.8,Rainy,22183.51,2010,3,1,67,0,0,17.6,17.37,18.8,5.042857142857143,57.099999999999994,1.7,23927.188571428567,25987.620333333332,22481.44,23973.41,0,1
2010-03-09,17.0,13.3,77.3,5.3,Rainy,30925.21,2010,3,1,68,1,0,16.97142857142857,17.42666666666667,18.0,5.528571428571428,69.6,8.4,23712.475714285712,25409.05766666667,22183.51,21283.06,0,1
2010-03-10,16.8,1.2,75.0,9.2,Rainy,20461.06,2010,3,1,69,2,0,17.62857142857143,17.476666666666667,17.0,4.814285714285714,68.0,13.3,22755.84571428571,25026.94833333333,30925.21,20962.76,0,1
2010-03-11,19.4,2.6,90.2,9.0,Rainy,19561.16,2010,3,1,70,3,0,17.442857142857143,17.57333333333333,16.8,5.014285714285713,69.9,1.2,22468.798571428568,24744.914,20461.06,32349.59,0,1
2010-03-12,15.2,5.4,79.5,12.7,Rainy,21967.26,2010,3,1,71,4,0,17.457142857142856,17.576666666666664,19.4,4.471428571428571,72.1,2.6,22666.88857142857,24388.021999999997,19561.16,23470.25,0,1
2010-03-13,18.2,1.1,70.7,10.0,Rainy,21711.28,2010,3,1,72,5,1,17.8,17.64,15.2,2.6,71.5,5.4,21407.655714285713,24208.282666666666,21967.26,28407.69,0,1
2010-03-14,17.5,3.1,95.0,12.1,Rainy,20472.11,2010,3,1,73,6,1,17.714285714285715,17.759999999999998,18.2,3.057142857142857,74.3,1.1,22280.882857142857,23861.365999999998,21711.28,22481.44,0,1
2010-03-15,18.1,4.6,66.4,13.9,Rainy,23570.14,2010,3,1,74,0,0,17.67142857142857,17.746666666666666,17.5,2.871428571428571,77.89999999999999,3.1,22506.88857142857,23930.008333333335,20472.11,22183.51,0,1
2010-03-16,19.4,0.2,68.5,14.8,Rainy,22110.58,2010,3,1,75,1,0,18.02857142857143,17.783333333333335,18.1,2.4714285714285715,77.7,4.6,23219.07285714286,23432.896333333334,23570.14,30925.21,0,1
2010-03-17,16.2,4.4,76.8,13.3,Rainy,26573.65,2010,3,1,76,2,0,18.342857142857145,17.81,19.4,4.171428571428572,81.8,0.2,23339.19857142857,23378.49766666667,22110.58,20461.06,0,1
2010-03-18,19.1,1.3,63.4,7.9,Rainy,21143.2,2010,3,1,77,3,0,18.714285714285715,17.936666666666667,16.2,4.442857142857143,82.0,4.4,23284.13,23516.376666666667,26573.65,19561.16,0,1
2010-03-19,17.7,2.6,69.4,9.3,Rainy,26952.55,2010,3,1,78,4,0,18.542857142857144,18.116666666666667,19.1,3.9857142857142853,83.5,1.3,23199.66428571429,23558.384000000002,21143.2,21967.26,0,1
2010-03-20,20.4,13.0,67.0,14.5,Rainy,22552.16,2010,3,1,79,5,1,18.414285714285715,18.27,17.7,5.3,96.5,2.6,24020.34142857143,23207.103333333333,26952.55,21711.28,0,1
2010-03-21,20.1,5.0,84.4,5.4,Rainy,20086.63,2010,3,1,80,6,1,18.857142857142858,18.233333333333334,20.4,5.0,100.80000000000001,13.0,23808.947142857145,23165.04666666667,22552.16,20472.11,0,1
2010-03-22,16.9,1.4,83.7,10.3,Rainy,22978.88,2010,3,1,81,0,0,18.771428571428572,18.473333333333333,20.1,5.957142857142857,102.0,5.0,24189.95142857143,22987.83933333333,20086.63,23570.14,0,1
2010-03-23,18.5,9.4,69.2,14.0,Rainy,27855.32,2010,3,1,82,1,0,18.571428571428573,18.573333333333334,16.9,6.771428571428571,109.2,1.4,22976.947142857145,23021.58566666667,22978.88,22110.58,0,1
2010-03-24,19.3,2.3,85.2,8.2,Rainy,25093.89,2010,3,1,83,2,0,18.38571428571429,18.623333333333335,18.5,5.7857142857142865,110.0,9.4,22783.182857142856,22946.732333333333,27855.32,26573.65,0,1
2010-03-25,18.5,8.0,56.1,9.8,Rainy,23810.23,2010,3,1,84,3,0,18.242857142857144,18.77,19.3,5.5,117.10000000000001,2.3,22804.694285714282,22760.644000000004,25093.89,21143.2,0,1
2010-03-26,16.3,8.3,95.0,10.8,Rainy,18461.52,2010,3,1,85,4,0,18.357142857142858,18.913333333333338,18.5,5.857142857142857,125.2,8.0,23729.809999999998,22805.353333333333,23810.23,26952.55,0,1
2010-03-27,19.1,6.1,83.3,13.5,Rainy,21195.81,2010,3,1,86,5,1,18.400000000000002,18.973333333333333,16.3,5.700000000000001,130.5,8.3,22707.712857142855,22887.956,18461.52,22552.16,0,1
2010-03-28,19.1,3.0,71.3,10.2,Rainy,20237.21,2010,3,1,87,6,1,18.37142857142857,19.17,19.1,7.042857142857144,133.4,6.1,22314.507142857143,22974.14333333333,21195.81,20086.63,0,1
2010-03-29,17.7,3.9,66.4,9.3,Rainy,29454.69,2010,3,1,88,0,0,18.400000000000002,19.27,19.1,6.457142857142856,137.2,3.0,22544.39285714286,23003.975,20237.21,22978.88,0,1
2010-03-30,18.8,8.3,82.1,8.4,Rainy,20700.64,2010,3,1,89,1,0,18.928571428571427,19.363333333333333,17.7,5.685714285714285,145.20000000000002,3.9,23081.744285714285,22984.443333333336,29454.69,27855.32,0,1
2010-03-31,19.1,11.7,80.3,7.6,Rainy,22341.45,2010,3,1,90,2,0,19.2,19.419999999999998,18.8,5.371428571428572,151.3,8.3,23169.652857142857,23199.977000000003,20700.64,25093.89,0,1
2010-04-01,18.7,3.9,64.7,13.8,Rainy,25419.43,2010,4,2,91,3,0,19.114285714285717,19.423333333333336,19.1,6.385714285714285,152.20000000000002,11.7,23451.272857142852,23301.103666666666,22341.45,23810.23,0,1
2010-04-02,20.0,2.9,77.7,11.2,Rainy,22222.98,2010,4,2,92,4,0,19.557142857142857,19.603333333333335,18.7,6.114285714285714,152.0,3.9,22542.24142857143,23308.697,25419.43,18461.52,0,1
2010-04-03,21.0,3.9,83.7,8.4,Rainy,21811.17,2010,4,2,93,5,1,19.985714285714288,19.740000000000002,20.0,7.028571428571429,149.10000000000002,2.9,22941.268571428573,23221.631999999998,22222.98,21195.81,0,1
2010-04-04,18.5,10.1,51.8,5.6,Rainy,22208.55,2010,4,2,94,6,1,20.042857142857144,19.883333333333333,21.0,6.742857142857142,157.20000000000002,3.9,22597.905714285713,23079.923000000003,21811.17,20237.21,0,1
2010-04-05,20.8,2.0,80.5,11.2,Rainy,23091.47,2010,4,2,95,0,0,20.428571428571427,19.89,18.5,6.585714285714286,153.10000000000002,10.1,22586.924285714285,23312.003666666667,22208.55,29454.69,0,1
2010-04-06,21.8,14.7,65.4,13.4,Rainy,23493.83,2010,4,2,96,1,0,20.585714285714285,19.98,20.8,6.671428571428572,166.1,2.0,22526.83285714286,23386.766,23091.47,20700.64,0,1
2010-04-07,19.5,9.7,65.5,7.0,Rainy,19937.91,2010,4,2,97,2,0,20.614285714285717,20.17,21.8,7.014285714285713,167.39999999999998,14.7,22559.414285714283,23440.636666666665,23493.83,22341.45,0,1
2010-04-08,21.4,2.8,72.5,7.6,Rainy,25342.56,2010,4,2,98,3,0,20.985714285714288,20.323333333333334,19.5,5.6000000000000005,156.9,9.7,22894.318571428572,23417.117000000002,19937.91,25419.43,0,1
2010-04-09,21.1,3.5,60.6,9.3,Rainy,21802.34,2010,4,2,99,4,0,21.042857142857144,20.453333333333333,21.4,5.928571428571429,159.2,2.8,22824.998571428576,23275.470000000005,25342.56,22222.98,0,1
2010-04-10,21.2,6.3,89.6,14.5,Rainy,22039.24,2010,4,2,100,5,1,20.828571428571426,20.51666666666667,21.1,5.6,162.9,3.5,22309.617142857143,23212.13833333333,21802.34,21811.17,0,1
2010-04-11,21.1,0.2,85.6,10.7,Rainy,24552.88,2010,4,2,101,6,1,20.87142857142857,20.61,21.2,4.457142857142857,157.7,6.3,23752.222857142857,23299.643333333333,22039.24,22208.55,0,1
2010-04-12,21.2,4.3,69.4,9.5,Rainy,22606.23,2010,4,2,102,0,0,20.599999999999998,20.676666666666666,21.1,4.828571428571429,160.9,0.2,23723.911428571428,23418.379,24552.88,23091.47,0,1
2010-04-13,20.3,12.4,55.6,13.9,Rainy,19886.16,2010,4,2,103,1,0,20.671428571428574,20.826666666666668,21.2,4.942857142857143,170.2,4.3,24438.07,23394.151,22606.23,23493.83,0,1
2010-04-14,19.8,1.7,72.8,13.8,Rainy,30036.15,2010,4,2,104,2,0,20.95714285714286,20.923333333333336,20.3,4.885714285714286,167.3,12.4,23936.928571428572,23162.763,19886.16,19937.91,0,1
2010-04-15,19.5,5.4,65.4,8.9,Rainy,25144.38,2010,4,2,105,3,0,21.085714285714285,20.966666666666672,19.8,5.542857142857143,172.5,1.7,23672.414285714283,23333.371,30036.15,25342.56,0,1
2010-04-16,21.6,4.3,79.4,5.2,Rainy,26801.45,2010,4,2,106,4,0,21.0,21.043333333333337,19.5,5.642857142857143,172.4,5.4,24659.321428571428,23323.039,25144.38,21802.34,0,1
2010-04-17,23.2,5.9,78.7,5.8,Rainy,18531.25,2010,4,2,107,5,1,21.357142857142858,21.086666666666666,21.6,4.557142857142858,177.0,4.3,25008.37,23134.001999999997,26801.45,22039.24,0,1
2010-04-18,22.0,4.8,77.9,7.9,Rainy,22701.28,2010,4,2,108,6,1,21.757142857142856,21.15,23.2,4.714285714285714,179.20000000000002,5.9,24231.062857142857,23374.413333333334,18531.25,24552.88,0,1
2010-04-19,20.6,5.0,79.1,5.7,Rainy,29514.58,2010,4,2,109,0,0,22.271428571428576,21.113333333333333,22.0,4.328571428571428,171.20000000000002,4.8,24517.541428571425,23248.129,22701.28,22606.23,0,1
2010-04-20,22.8,4.8,89.8,8.0,Rainy,22329.5,2010,4,2,110,1,0,22.5,21.23,20.6,3.942857142857143,171.0,5.0,23666.545714285716,23137.548,29514.58,19886.16,0,1
2010-04-21,22.6,2.8,74.9,13.8,Rainy,24595.0,2010,4,2,111,2,0,22.1,21.293333333333337,22.8,3.6142857142857143,172.4,4.8,24149.264285714286,23082.594666666668,22329.5,30036.15,0,1
2010-04-22,23.1,2.7,53.0,13.6,Rainy,27149.73,2010,4,2,112,3,0,21.685714285714287,21.326666666666664,22.6,3.1,165.7,2.8,23918.605714285717,22875.158999999996,24595.0,25144.38,0,1
2010-04-23,23.2,1.6,81.0,11.2,Rainy,20844.48,2010,4,2,113,4,0,21.75714285714286,21.436666666666667,23.1,3.042857142857143,165.0,2.7,23239.07714285714,22948.507,27149.73,26801.45,0,1
2010-04-24,20.4,3.6,53.2,12.9,Rainy,21910.28,2010,4,2,114,5,1,21.87142857142857,21.490000000000002,23.2,2.9,160.60000000000002,1.6,22836.344285714287,23055.334,20844.48,18531.25,0,1
2010-04-25,19.1,1.2,77.1,8.7,Rainy,21086.67,2010,4,2,115,6,1,21.58571428571429,21.426666666666666,20.4,3.228571428571428,153.5,3.6,22538.922857142858,23210.16533333333,21910.28,22701.28,0,1
2010-04-26,21.1,4.6,66.5,6.5,Rainy,24757.88,2010,4,2,116,0,0,21.157142857142855,21.42666666666667,19.1,3.457142857142857,152.0,1.2,22348.801428571427,23137.706000000002,21086.67,29514.58,0,1
2010-04-27,23.6,3.8,68.6,9.2,Rainy,19510.37,2010,4,2,117,1,0,20.900000000000002,21.47666666666667,21.1,3.5857142857142854,152.8,4.6,22518.374285714286,23074.08566666667,24757.88,22329.5,0,1
2010-04-28,20.6,5.1,95.0,13.2,Rainy,22513.05,2010,4,2,118,2,0,20.842857142857145,21.470000000000002,23.6,3.6714285714285713,154.0,3.8,22209.522857142852,22984.514000000003,19510.37,24595.0,0,1
2010-04-29,20.1,4.3,58.0,14.9,Rainy,25818.88,2010,4,2,119,3,0,21.24285714285714,21.59,20.6,3.7142857142857144,150.0,5.1,23402.187142857143,23008.856333333333,22513.05,27149.73,0,1
2010-04-30,21.4,2.5,67.3,7.8,Rainy,22031.49,2010,4,2,120,4,0,21.071428571428573,21.630000000000003,20.1,3.7285714285714286,140.8,4.3,22440.010000000002,22916.819666666666,25818.88,20844.48,0,1
2010-05-01,20.0,4.2,79.0,13.0,Rainy,19748.32,2010,5,2,121,5,1,20.842857142857145,21.673333333333336,21.4,3.642857142857143,141.1,2.5,22351.545714285716,22844.767,22031.49,21910.28,0,1
2010-05-02,21.9,1.5,78.6,14.2,Rainy,29435.32,2010,5,2,122,6,1,21.142857142857142,21.630000000000003,20.0,3.7142857142857144,139.7,4.2,22198.66285714286,22793.77,19748.32,21086.67,0,1
2010-05-03,19.9,4.7,57.8,10.7,Rainy,18022.64,2010,5,2,123,0,0,21.52857142857143,21.703333333333333,21.9,3.5142857142857147,140.49999999999997,1.5,20977.502857142856,23103.559666666668,29435.32,24757.88,0,1
