date,year,month,day,firewood_demand_m3,unit,area,temperature_avg,temperature_min,temperature_max,rainfall_mm,humidity_avg,pressure_hpa,wind_speed_kmh,is_rainy_day,season,latitude,longitude
2010-01-18,2010,1,18,32742.5,m3,Cameroon,15.7,10.1,18.9,0.0,79.3,1034.4,5.5,0,Dry,3.848,11.5021
2010-01-19,2010,1,19,31417.09,m3,Cameroon,13.1,10.0,17.1,0.8,71.7,1010.8,5.2,0,Dry,3.848,11.5021
2010-01-20,2010,1,20,30545.77,m3,Cameroon,14.1,10.0,18.5,2.3,86.1,1007.2,14.4,1,Dry,3.848,11.5021
2010-01-21,2010,1,21,31306.58,m3,Cameroon,14.3,10.0,18.0,1.0,92.3,998.3,8.3,0,Dry,3.848,11.5021
2010-01-22,2010,1,22,30483.43,m3,Cameroon,12.0,10.0,15.5,0.3,74.3,1019.4,8.1,0,Dry,3.848,11.5021
2010-01-23,2010,1,23,35267.75,m3,Cameroon,14.9,10.4,20.7,0.0,74.0,1011.8,14.8,0,Dry,3.848,11.5021
2010-01-24,2010,1,24,30582.05,m3,Cameroon,15.5,12.1,19.1,0.9,80.6,1009.9,9.9,0,Dry,3.848,11.5021
2010-01-25,2010,1,25,30717.11,m3,Cameroon,14.7,10.4,19.5,2.3,81.5,1009.0,14.8,1,Dry,3.848,11.5021
2010-01-26,2010,1,26,31314.54,m3,Cameroon,15.4,10.0,18.9,1.6,62.4,999.3,5.2,0,Dry,3.848,11.5021
2010-01-27,2010,1,27,29932.65,m3,Cameroon,13.1,10.1,16.7,0.5,89.1,1016.6,10.7,0,Dry,3.848,11.5021
2010-01-28,2010,1,28,29821.35,m3,Cameroon,12.9,10.0,16.6,0.7,72.1,994.9,11.6,0,Dry,3.848,11.5021
2010-01-29,2010,1,29,32154.6,m3,Cameroon,14.9,10.7,18.0,0.2,73.9,1026.4,8.8,0,Dry,3.848,11.5021
2010-01-30,2010,1,30,29410.51,m3,Cameroon,14.4,11.4,19.3,3.2,82.8,1000.8,6.3,1,Dry,3.848,11.5021
2010-01-31,2010,1,31,30564.24,m3,Cameroon,14.1,10.0,18.1,1.1,61.0,1005.5,7.2,0,Dry,3.848,11.5021
2010-02-01,2010,2,1,32433.08,m3,Cameroon,12.2,10.0,16.7,1.0,79.4,996.1,13.0,0,Dry,3.848,11.5021
2010-02-02,2010,2,2,30310.83,m3,Cameroon,13.3,10.0,17.9,0.3,73.2,1035.9,12.5,0,Dry,3.848,11.5021
2010-02-03,2010,2,3,28400.72,m3,Cameroon,14.8,10.8,19.0,0.3,73.5,1011.1,11.7,0,Dry,3.848,11.5021
2010-02-04,2010,2,4,37862.46,m3,Cameroon,15.9,12.2,21.3,0.6,80.7,1015.6,8.3,0,Dry,3.848,11.5021
2010-02-05,2010,2,5,35747.16,m3,Cameroon,13.4,10.0,17.8,0.9,95.0,1017.4,14.1,0,Dry,3.848,11.5021
2010-02-06,2010,2,6,31148.74,m3,Cameroon,15.4,10.4,20.9,1.1,56.5,1010.0,13.9,0,Dry,3.848,11.5021
2010-02-07,2010,2,7,33805.95,m3,Cameroon,14.5,10.4,17.6,1.3,74.0,1006.8,11.4,0,Dry,3.848,11.5021
2010-02-08,2010,2,8,27826.34,m3,Cameroon,15.4,10.7,19.3,0.2,73.4,1009.5,8.8,0,Dry,3.848,11.5021
2010-02-09,2010,2,9,29890.07,m3,Cameroon,13.9,10.2,17.9,2.0,80.4,1019.6,11.4,1,Dry,3.848,11.5021
2010-02-10,2010,2,10,33554.16,m3,Cameroon,14.9,11.2,20.8,0.2,69.6,1004.8,6.2,0,Dry,3.848,11.5021
2010-02-11,2010,2,11,26332.21,m3,Cameroon,16.3,11.0,21.5,0.3,58.9,995.6,13.0,0,Dry,3.848,11.5021
2010-02-12,2010,2,12,32228.38,m3,Cameroon,18.3,13.5,24.1,1.5,52.7,1012.6,9.8,0,Dry,3.848,11.5021
2010-02-13,2010,2,13,27208.27,m3,Cameroon,15.7,10.4,19.5,0.7,91.5,1023.0,13.6,0,Dry,3.848,11.5021
2010-02-14,2010,2,14,28832.52,m3,Cameroon,16.6,12.6,21.7,2.5,64.7,1015.9,7.6,1,Dry,3.848,11.5021
2010-02-15,2010,2,15,25503.25,m3,Cameroon,16.8,13.6,21.3,0.4,76.9,1022.0,8.2,0,Dry,3.848,11.5021
2010-02-16,2010,2,16,34065.23,m3,Cameroon,15.0,11.1,18.1,0.6,91.8,1014.2,7.5,0,Dry,3.848,11.5021
2010-02-17,2010,2,17,30392.18,m3,Cameroon,16.6,12.5,20.7,2.7,80.4,1029.1,7.6,1,Dry,3.848,11.5021
2010-02-18,2010,2,18,31591.24,m3,Cameroon,16.7,11.5,21.7,0.5,65.8,1002.4,10.8,0,Dry,3.848,11.5021
2010-02-19,2010,2,19,37212.27,m3,Cameroon,16.5,11.1,22.1,0.0,57.9,1013.0,10.7,0,Dry,3.848,11.5021
2010-02-20,2010,2,20,32825.32,m3,Cameroon,17.6,13.4,22.4,0.2,63.8,1019.8,10.0,0,Dry,3.848,11.5021
2010-02-21,2010,2,21,45212.2,m3,Cameroon,17.4,13.8,21.6,0.5,62.0,1009.6,9.4,0,Dry,3.848,11.5021
2010-02-22,2010,2,22,36557.17,m3,Cameroon,17.7,13.8,22.6,3.0,89.4,1021.0,12.4,1,Dry,3.848,11.5021
2010-02-23,2010,2,23,32271.26,m3,Cameroon,15.7,10.4,21.7,0.0,62.3,1015.5,11.4,0,Dry,3.848,11.5021
2010-02-24,2010,2,24,29168.28,m3,Cameroon,15.9,12.8,19.0,0.6,78.2,999.0,12.1,0,Dry,3.848,11.5021
2010-02-25,2010,2,25,26587.99,m3,Cameroon,17.4,12.9,20.4,0.1,63.2,1022.0,6.7,0,Dry,3.848,11.5021
2010-02-26,2010,2,26,30644.71,m3,Cameroon,18.1,13.4,23.0,0.2,79.0,1019.6,13.2,0,Dry,3.848,11.5021
2010-02-27,2010,2,27,27395.42,m3,Cameroon,17.2,11.8,21.5,0.6,63.9,1013.8,5.5,0,Dry,3.848,11.5021
2010-02-28,2010,2,28,35614.0,m3,Cameroon,16.0,12.4,21.1,0.0,85.7,1011.7,11.9,0,Dry,3.848,11.5021
2010-03-01,2010,3,1,23973.41,m3,Cameroon,17.7,12.0,21.5,1.5,72.0,1008.8,9.6,1,Rainy,3.848,11.5021
2010-03-02,2010,3,2,21283.06,m3,Cameroon,17.5,12.0,21.6,4.1,62.8,1026.1,6.1,1,Rainy,3.848,11.5021
2010-03-03,2010,3,3,20962.76,m3,Cameroon,15.6,10.8,20.6,11.8,77.6,1027.2,6.7,1,Rainy,3.848,11.5021
2010-03-04,2010,3,4,32349.59,m3,Cameroon,17.4,12.2,23.4,3.7,71.3,1014.6,14.8,1,Rainy,3.848,11.5021
2010-03-05,2010,3,5,23470.25,m3,Cameroon,17.6,13.8,20.9,0.6,92.0,1003.1,8.4,0,Rainy,3.848,11.5021
2010-03-06,2010,3,6,28407.69,m3,Cameroon,17.1,11.8,22.9,4.4,84.3,1021.8,13.2,1,Rainy,3.848,11.5021
2010-03-07,2010,3,7,22481.44,m3,Cameroon,17.2,12.1,21.4,0.2,40.0,1014.9,14.3,0,Rainy,3.848,11.5021
2010-03-08,2010,3,8,22183.51,m3,Cameroon,19.5,16.5,23.6,7.8,64.8,1021.3,7.2,1,Rainy,3.848,11.5021
2010-03-09,2010,3,9,30925.21,m3,Cameroon,17.3,11.8,20.6,8.1,95.0,1011.0,6.9,1,Rainy,3.848,11.5021
2010-03-10,2010,3,10,20461.06,m3,Cameroon,15.6,11.7,21.2,1.0,90.1,1024.9,6.9,0,Rainy,3.848,11.5021
2010-03-11,2010,3,11,19561.16,m3,Cameroon,19.2,14.5,23.3,5.4,71.4,1009.3,14.7,1,Rainy,3.848,11.5021
2010-03-12,2010,3,12,21967.26,m3,Cameroon,17.6,13.5,22.6,3.3,94.2,1026.3,10.2,1,Rainy,3.848,11.5021
2010-03-13,2010,3,13,21711.28,m3,Cameroon,17.7,13.3,22.4,5.2,59.3,1029.0,5.4,1,Rainy,3.848,11.5021
2010-03-14,2010,3,14,20472.11,m3,Cameroon,17.3,11.7,20.4,8.5,94.0,1012.1,5.0,1,Rainy,3.848,11.5021
2010-03-15,2010,3,15,23570.14,m3,Cameroon,19.0,13.8,24.8,4.0,70.2,1018.8,9.5,1,Rainy,3.848,11.5021
2010-03-16,2010,3,16,22110.58,m3,Cameroon,17.8,13.3,21.8,14.2,69.7,1012.4,11.9,1,Rainy,3.848,11.5021
2010-03-17,2010,3,17,26573.65,m3,Cameroon,16.9,11.4,20.0,2.4,74.3,1010.5,7.8,1,Rainy,3.848,11.5021
2010-03-18,2010,3,18,21143.2,m3,Cameroon,16.2,10.6,22.1,1.0,64.3,1012.5,8.2,1,Rainy,3.848,11.5021
2010-03-19,2010,3,19,26952.55,m3,Cameroon,18.7,13.3,23.4,4.3,79.4,1030.0,6.7,1,Rainy,3.848,11.5021
2010-03-20,2010,3,20,22552.16,m3,Cameroon,17.4,13.4,22.9,13.4,69.8,1015.4,14.4,1,Rainy,3.848,11.5021
2010-03-21,2010,3,21,20086.63,m3,Cameroon,19.4,13.6,25.2,5.8,95.0,1017.6,5.0,1,Rainy,3.848,11.5021
2010-03-22,2010,3,22,22978.88,m3,Cameroon,19.1,14.7,23.4,2.3,92.9,1008.7,7.4,1,Rainy,3.848,11.5021
2010-03-23,2010,3,23,27855.32,m3,Cameroon,19.5,13.8,24.0,3.1,72.8,1005.0,11.0,1,Rainy,3.848,11.5021
2010-03-24,2010,3,24,25093.89,m3,Cameroon,17.5,11.7,20.9,1.3,70.6,1022.4,8.6,1,Rainy,3.848,11.5021
2010-03-25,2010,3,25,23810.23,m3,Cameroon,18.2,14.2,23.8,2.8,91.5,1020.9,11.6,1,Rainy,3.848,11.5021
2010-03-26,2010,3,26,18461.52,m3,Cameroon,18.0,12.7,23.0,2.8,92.2,1016.0,10.8,1,Rainy,3.848,11.5021
2010-03-27,2010,3,27,21195.81,m3,Cameroon,19.1,13.3,23.6,8.4,72.1,1012.2,10.7,1,Rainy,3.848,11.5021
2010-03-28,2010,3,28,20237.21,m3,Cameroon,20.5,14.8,25.4,5.5,54.7,1014.5,12.4,1,Rainy,3.848,11.5021
2010-03-29,2010,3,29,29454.69,m3,Cameroon,19.5,14.1,23.1,0.2,71.0,1016.3,6.6,0,Rainy,3.848,11.5021
2010-03-30,2010,3,30,20700.64,m3,Cameroon,21.8,16.1,26.7,3.1,75.6,1029.4,7.4,1,Rainy,3.848,11.5021
2010-03-31,2010,3,31,22341.45,m3,Cameroon,17.7,13.6,22.9,3.1,66.5,1026.8,8.6,1,Rainy,3.848,11.5021
2010-04-01,2010,4,1,25419.43,m3,Cameroon,19.5,14.4,24.8,3.3,73.4,1007.1,8.8,1,Rainy,3.848,11.5021
2010-04-02,2010,4,2,22222.98,m3,Cameroon,20.7,14.8,24.2,13.6,92.2,1011.9,8.3,1,Rainy,3.848,11.5021
2010-04-03,2010,4,3,21811.17,m3,Cameroon,19.4,13.5,22.8,3.4,77.1,1004.8,9.1,1,Rainy,3.848,11.5021
2010-04-04,2010,4,4,22208.55,m3,Cameroon,21.1,15.2,24.7,3.1,92.6,1020.3,12.3,1,Rainy,3.848,11.5021
2010-04-05,2010,4,5,23091.47,m3,Cameroon,21.6,17.2,27.3,4.0,95.0,1021.9,9.6,1,Rainy,3.848,11.5021
2010-04-06,2010,4,6,23493.83,m3,Cameroon,21.4,16.2,24.7,3.3,64.7,995.2,13.1,1,Rainy,3.848,11.5021
2010-04-07,2010,4,7,19937.91,m3,Cameroon,18.5,14.1,23.6,1.5,53.2,1027.6,10.5,1,Rainy,3.848,11.5021
2010-04-08,2010,4,8,25342.56,m3,Cameroon,19.6,15.7,23.4,6.3,78.6,1016.5,9.8,1,Rainy,3.848,11.5021
2010-04-09,2010,4,9,21802.34,m3,Cameroon,22.5,17.4,28.0,5.9,77.2,1023.0,9.1,1,Rainy,3.848,11.5021
2010-04-10,2010,4,10,22039.24,m3,Cameroon,20.8,14.9,25.5,0.6,56.7,1047.4,9.0,0,Rainy,3.848,11.5021
2010-04-11,2010,4,11,24552.88,m3,Cameroon,20.6,15.2,25.2,4.8,74.4,1019.9,9.4,1,Rainy,3.848,11.5021
2010-04-12,2010,4,12,22606.23,m3,Cameroon,20.2,15.4,25.4,11.0,95.0,1014.6,10.8,1,Rainy,3.848,11.5021
2010-04-13,2010,4,13,19886.16,m3,Cameroon,20.7,15.3,24.7,14.2,74.3,987.3,13.5,1,Rainy,3.848,11.5021
2010-04-14,2010,4,14,30036.15,m3,Cameroon,18.0,14.1,23.6,7.8,82.4,997.1,5.8,1,Rainy,3.848,11.5021
2010-04-15,2010,4,15,25144.38,m3,Cameroon,18.6,15.0,21.7,5.1,85.6,1003.9,13.6,1,Rainy,3.848,11.5021
2010-04-16,2010,4,16,26801.45,m3,Cameroon,20.0,16.8,23.6,1.3,70.3,1020.6,14.8,1,Rainy,3.848,11.5021
2010-04-17,2010,4,17,18531.25,m3,Cameroon,22.4,17.4,26.6,9.0,72.6,1012.6,8.5,1,Rainy,3.848,11.5021
2010-04-18,2010,4,18,22701.28,m3,Cameroon,23.2,20.0,27.7,1.7,93.4,1008.2,9.5,1,Rainy,3.848,11.5021
2010-04-19,2010,4,19,29514.58,m3,Cameroon,22.3,17.0,28.0,3.8,80.1,1021.6,14.7,1,Rainy,3.848,11.5021
2010-04-20,2010,4,20,22329.5,m3,Cameroon,22.3,17.2,26.3,1.6,88.9,1021.7,7.9,1,Rainy,3.848,11.5021
2010-04-21,2010,4,21,24595.0,m3,Cameroon,22.5,16.8,27.4,16.1,73.1,1001.8,8.4,1,Rainy,3.848,11.5021
2010-04-22,2010,4,22,27149.73,m3,Cameroon,21.6,17.4,25.9,5.9,69.4,1000.2,12.1,1,Rainy,3.848,11.5021
2010-04-23,2010,4,23,20844.48,m3,Cameroon,22.2,16.5,28.0,8.7,72.1,1005.9,5.6,1,Rainy,3.848,11.5021
2010-04-24,2010,4,24,21910.28,m3,Cameroon,22.4,18.9,27.9,0.2,85.6,1002.1,5.1,0,Rainy,3.848,11.5021
2010-04-25,2010,4,25,21086.67,m3,Cameroon,21.1,16.1,25.6,2.5,48.2,1013.2,5.7,1,Rainy,3.848,11.5021
2010-04-26,2010,4,26,24757.88,m3,Cameroon,20.5,15.6,24.4,5.9,90.2,1018.2,8.1,1,Rainy,3.848,11.5021
2010-04-27,2010,4,27,19510.37,m3,Cameroon,21.4,17.4,27.4,7.7,93.9,1012.1,6.8,1,Rainy,3.848,11.5021
2010-04-28,2010,4,28,22513.05,m3,Cameroon,21.1,16.2,27.0,1.3,80.7,1007.7,6.1,1,Rainy,3.848,11.5021
2010-04-29,2010,4,29,25818.88,m3,Cameroon,24.2,19.3,28.0,2.2,58.8,1034.8,8.8,1,Rainy,3.848,11.5021
2010-04-30,2010,4,30,22031.49,m3,Cameroon,22.7,17.6,28.0,5.3,40.0,1019.9,14.9,1,Rainy,3.848,11.5021
2010-05-01,2010,5,1,19748.32,m3,Cameroon,24.8,20.8,28.0,3.1,81.0,1002.0,12.8,1,Rainy,3.848,11.5021
2010-05-02,2010,5,2,29435.32,m3,Cameroon,23.9,20.3,28.0,2.3,76.3,1011.0,13.9,1,Rainy,3.848,11.5021
2010-05-03,2010,5,3,18022.64,m3,Cameroon,23.0,18.5,27.6,3.6,70.1,1005.9,10.6,1,Rainy,3.848,11.5021
2010-05-04,2010,5,4,18891.12,m3,Cameroon,20.8,15.4,25.3,6.6,82.5,1019.5,7.8,1,Rainy,3.848,11.5021
2010-05-05,2010,5,5,21442.87,m3,Cameroon,22.2,16.7,26.1,1.2,88.8,1016.9,11.0,1,Rainy,3.848,11.5021
2010-05-06,2010,5,6,17270.76,m3,Cameroon,20.7,16.1,24.4,4.4,79.9,1026.3,11.9,1,Rainy,3.848,11.5021
2010-05-07,2010,5,7,22138.35,m3,Cameroon,22.9,19.0,26.7,5.1,82.9,1018.7,9.7,1,Rainy,3.848,11.5021
2010-05-08,2010,5,8,28547.37,m3,Cameroon,19.6,15.5,22.6,1.2,81.2,1018.2,13.5,1,Rainy,3.848,11.5021
2010-05-09,2010,5,9,26447.28,m3,Cameroon,21.3,16.7,24.7,7.6,88.7,1021.8,10.7,1,Rainy,3.848,11.5021
2010-05-10,2010,5,10,19865.46,m3,Cameroon,22.9,18.4,26.0,5.1,75.7,1019.5,8.6,1,Rainy,3.848,11.5021
2010-05-11,2010,5,11,22644.27,m3,Cameroon,22.0,18.3,25.6,6.8,83.2,1009.9,12.3,1,Rainy,3.848,11.5021
2010-05-12,2010,5,12,19919.08,m3,Cameroon,20.9,16.0,26.0,3.7,95.0,1024.5,12.9,1,Rainy,3.848,11.5021
2010-05-13,2010,5,13,20616.43,m3,Cameroon,23.0,17.6,26.2,2.6,71.1,998.8,13.8,1,Rainy,3.848,11.5021
2010-05-14,2010,5,14,27275.05,m3,Cameroon,21.8,16.6,27.5,5.7,86.8,1003.5,6.0,1,Rainy,3.848,11.5021
2010-05-15,2010,5,15,22982.8,m3,Cameroon,20.2,15.1,24.7,2.3,76.5,1010.4,7.3,1,Rainy,3.848,11.5021
2010-05-16,2010,5,16,25271.54,m3,Cameroon,22.7,18.3,25.9,2.8,91.8,1025.9,11.3,1,Rainy,3.848,11.5021
2010-05-17,2010,5,17,27824.94,m3,Cameroon,19.0,13.1,24.9,6.1,67.2,1024.7,6.0,1,Rainy,3.848,11.5021
2010-05-18,2010,5,18,23541.71,m3,Cameroon,24.1,18.6,28.0,0.9,81.1,1012.6,14.1,0,Rainy,3.848,11.5021
2010-05-19,2010,5,19,25199.64,m3,Cameroon,23.7,18.0,27.7,7.0,88.1,1023.5,8.6,1,Rainy,3.848,11.5021
2010-05-20,2010,5,20,15986.34,m3,Cameroon,24.7,19.8,27.8,1.5,68.7,1021.9,13.5,1,Rainy,3.848,11.5021
2010-05-21,2010,5,21,24640.07,m3,Cameroon,23.1,18.3,28.0,7.7,64.4,1004.8,14.5,1,Rainy,3.848,11.5021
2010-05-22,2010,5,22,21706.4,m3,Cameroon,24.2,20.0,27.6,2.7,90.9,1000.5,10.7,1,Rainy,3.848,11.5021
2010-05-23,2010,5,23,20413.0,m3,Cameroon,22.1,17.9,25.6,3.7,83.9,1006.0,14.6,1,Rainy,3.848,11.5021
2010-05-24,2010,5,24,30968.1,m3,Cameroon,22.4,17.1,25.4,3.7,77.1,996.4,11.3,1,Rainy,3.848,11.5021
2010-05-25,2010,5,25,20184.05,m3,Cameroon,22.3,17.9,26.1,12.0,85.2,1014.6,7.0,1,Rainy,3.848,11.5021
2010-05-26,2010,5,26,26805.48,m3,Cameroon,26.0,21.2,28.0,4.3,86.3,1026.5,11.4,1,Rainy,3.848,11.5021
2010-05-27,2010,5,27,16525.34,m3,Cameroon,24.1,18.7,27.2,5.9,70.8,1017.1,11.4,1,Rainy,3.848,11.5021
2010-05-28,2010,5,28,21395.12,m3,Cameroon,24.7,19.0,27.9,12.1,91.7,1028.4,9.6,1,Rainy,3.848,11.5021
2010-05-29,2010,5,29,23709.46,m3,Cameroon,23.4,19.8,28.0,4.6,70.7,1017.4,11.9,1,Rainy,3.848,11.5021
2010-05-30,2010,5,30,23514.92,m3,Cameroon,21.8,16.0,26.8,1.3,87.0,1013.9,11.6,1,Rainy,3.848,11.5021
2010-05-31,2010,5,31,25667.66,m3,Cameroon,23.8,18.9,28.0,6.7,78.9,1021.6,13.4,1,Rainy,3.848,11.5021
2010-06-01,2010,6,1,18688.93,m3,Cameroon,23.4,19.1,27.7,2.9,55.0,1006.0,12.7,1,Rainy,3.848,11.5021
2010-06-02,2010,6,2,22062.46,m3,Cameroon,22.8,17.2,28.0,1.8,62.1,1025.0,8.8,1,Rainy,3.848,11.5021
2010-06-03,2010,6,3,21639.75,m3,Cameroon,22.9,19.6,27.3,9.0,71.7,994.0,6.2,1,Rainy,3.848,11.5021
2010-06-04,2010,6,4,18733.44,m3,Cameroon,25.7,20.7,28.0,6.0,58.3,1017.5,5.6,1,Rainy,3.848,11.5021
2010-06-05,2010,6,5,24136.77,m3,Cameroon,23.8,19.5,28.0,1.6,79.5,1003.1,13.8,1,Rainy,3.848,11.5021
2010-06-06,2010,6,6,29242.28,m3,Cameroon,23.6,19.9,27.4,3.8,51.2,1025.2,6.6,1,Rainy,3.848,11.5021
2010-06-07,2010,6,7,22577.78,m3,Cameroon,24.6,19.8,27.9,5.8,72.1,1025.6,8.8,1,Rainy,3.848,11.5021
2010-06-08,2010,6,8,24332.27,m3,Cameroon,21.3,17.0,24.7,0.8,63.9,1030.3,10.4,0,Rainy,3.848,11.5021
2010-06-09,2010,6,9,29573.66,m3,Cameroon,23.8,17.9,28.0,11.7,73.2,1007.5,12.6,1,Rainy,3.848,11.5021
2010-06-10,2010,6,10,17511.18,m3,Cameroon,25.5,21.4,28.0,6.8,69.6,998.0,8.0,1,Rainy,3.848,11.5021
2010-06-11,2010,6,11,21863.51,m3,Cameroon,24.7,21.6,28.0,3.0,63.4,1007.6,5.1,1,Rainy,3.848,11.5021
2010-06-12,2010,6,12,17676.25,m3,Cameroon,23.3,18.7,26.3,7.0,95.0,1009.2,5.9,1,Rainy,3.848,11.5021
2010-06-13,2010,6,13,18762.96,m3,Cameroon,25.0,21.3,28.0,5.7,55.8,1000.9,13.9,1,Rainy,3.848,11.5021
2010-06-14,2010,6,14,25957.98,m3,Cameroon,23.5,17.5,28.0,4.4,77.6,1007.6,8.8,1,Rainy,3.848,11.5021
2010-06-15,2010,6,15,29036.77,m3,Cameroon,20.9,15.9,26.8,3.5,75.7,1025.9,7.2,1,Rainy,3.848,11.5021
2010-06-16,2010,6,16,25004.51,m3,Cameroon,21.6,16.8,26.3,3.0,83.9,1009.6,14.0,1,Rainy,3.848,11.5021
2010-06-17,2010,6,17,28048.77,m3,Cameroon,21.6,17.5,25.1,18.2,77.4,1010.4,11.8,1,Rainy,3.848,11.5021
2010-06-18,2010,6,18,22673.1,m3,Cameroon,24.8,21.1,28.0,2.2,83.3,1021.3,5.0,1,Rainy,3.848,11.5021
2010-06-19,2010,6,19,25119.1,m3,Cameroon,20.2,15.6,26.2,4.7,74.6,1005.0,5.9,1,Rainy,3.848,11.5021
2010-06-20,2010,6,20,19339.79,m3,Cameroon,22.4,18.2,28.0,3.5,90.2,1013.9,10.6,1,Rainy,3.848,11.5021
2010-06-21,2010,6,21,23996.21,m3,Cameroon,24.4,20.4,28.0,1.2,74.5,1024.1,13.9,1,Rainy,3.848,11.5021
2010-06-22,2010,6,22,19901.88,m3,Cameroon,23.8,18.9,28.0,2.5,62.0,1011.7,14.9,1,Rainy,3.848,11.5021
2010-06-23,2010,6,23,27122.9,m3,Cameroon,22.6,18.9,27.3,4.4,55.3,1004.2,10.4,1,Rainy,3.848,11.5021
2010-06-24,2010,6,24,23754.22,m3,Cameroon,24.0,18.7,28.0,8.7,81.9,1019.0,6.3,1,Rainy,3.848,11.5021
2010-06-25,2010,6,25,23573.44,m3,Cameroon,23.5,19.1,28.0,2.7,41.0,995.4,7.0,1,Rainy,3.848,11.5021
2010-06-26,2010,6,26,25032.33,m3,Cameroon,21.8,17.7,25.6,3.6,65.8,1018.0,10.0,1,Rainy,3.848,11.5021
2010-06-27,2010,6,27,25494.56,m3,Cameroon,24.0,18.8,28.0,5.6,76.4,1006.5,11.5,1,Rainy,3.848,11.5021
2010-06-28,2010,6,28,26040.41,m3,Cameroon,25.0,21.2,28.0,3.2,73.1,993.4,9.6,1,Rainy,3.848,11.5021
2010-06-29,2010,6,29,25419.53,m3,Cameroon,23.2,18.3,28.0,2.1,79.3,1010.4,14.9,1,Rainy,3.848,11.5021
2010-06-30,2010,6,30,19114.64,m3,Cameroon,23.9,18.7,28.0,5.0,87.4,1005.7,8.9,1,Rainy,3.848,11.5021
2010-07-01,2010,7,1,21565.26,m3,Cameroon,22.2,16.5,25.9,5.6,76.4,1000.0,14.0,1,Rainy,3.848,11.5021
2010-07-02,2010,7,2,27946.75,m3,Cameroon,25.3,21.0,28.0,10.1,61.9,1013.2,8.0,1,Rainy,3.848,11.5021
2010-07-03,2010,7,3,26681.92,m3,Cameroon,22.4,17.6,27.0,11.4,92.4,1028.7,5.7,1,Rainy,3.848,11.5021
2010-07-04,2010,7,4,23370.51,m3,Cameroon,25.9,22.7,28.0,9.9,78.1,1009.2,13.3,1,Rainy,3.848,11.5021
2010-07-05,2010,7,5,21075.95,m3,Cameroon,22.5,17.0,28.0,10.2,72.7,1011.7,11.4,1,Rainy,3.848,11.5021
2010-07-06,2010,7,6,21144.81,m3,Cameroon,21.9,18.8,25.2,6.2,51.2,1008.5,6.4,1,Rainy,3.848,11.5021
2010-07-07,2010,7,7,27475.51,m3,Cameroon,21.5,18.2,27.3,7.6,86.0,1001.5,12.6,1,Rainy,3.848,11.5021
2010-07-08,2010,7,8,24784.95,m3,Cameroon,22.5,17.9,26.8,9.5,58.3,1008.2,5.8,1,Rainy,3.848,11.5021
2010-07-09,2010,7,9,27003.74,m3,Cameroon,22.8,19.5,28.0,9.0,65.5,1011.5,11.4,1,Rainy,3.848,11.5021
